user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
A2693,"['Loctite 1515861 Polyseamseal Tub and Tile Adhesive Caulk, 5.5-Ounce Tube, White', 'Ridgid VF4200 Genuine Replacement 1-Layer Everyday Dirt Wet/Dry Vac Filter for Ridgid 5-20 Gallon Vacuums (2 pack VF4000)', '3M Dual Lock Reclosable Fastener SJ3560 250 Clear, 1/2 in x 6 Ft by 3M', '3M Duct Tape Black, 3920-BK, 1.88 Inches by 20 Yards', '3M Duct Tape Black, 3920-BK, 1.88 Inches by 20 Yards', '3M Scotch Duct Tape,  1.88-Inch by 60-Yard - White, 1 Pack']",Stanley R120 Rivet Pack Assortment,"[3118, 929, 2458, 1429, 1429, 647]",658,"['<a_244><b_214><c_47>', '<a_109><b_7><c_251>', '<a_68><b_32><c_142>', '<a_202><b_160><c_5>', '<a_202><b_160><c_5>', '<a_202><b_98><c_6>']",<a_224><b_76><c_250>
A4531,"['Proimb 300pcs M2 M3 Nylon Hex Nuts Screws Spacers Stand-off Plastic Accessories Assortment White, Black', 'Capacitor - Variable, Single, 365 pF, CW Rotation', 'EATON 604-SP 660-Watt 250-volt Medium Base Ceiling Receptacle Lamp Holder, Porcelain, White', 'EATON 604-SP 660-Watt 250-volt Medium Base Ceiling Receptacle Lamp Holder, Porcelain, White', 'Vktech 10pcs 4x6cm Double Side Prototype PCB Universal Printed Circuit Board', 'Uxcell a13041000ux0023 Metal 6 mm Knurled Shaft Insert Dia. Potentiometer Control Knobs, 10 Piece, Black', 'TOOGOO(R) 10 Pcs AC 125V 6A Amps ON/ON 2 Position DPDT Toggle Switch', 'Teenitor 120Pcs M3 Nylon Hex Spacers Screw Nut Stand-off Plastic Accessories Assortment White', 'Uxcell a12080300ux0453 2.54mm Pitch 4 Pins DIP Mounting Photo Coupler PC817 (Pack of 10)', 'microtivity IL188 5mm Assorted Clear LED w/Resistors (8 Colors, Pack of 80)']",TEMCo 18 AWG Copper Magnet Wire - 4 oz 50 ft 200&deg;C Magnetic Coil Winding,"[1816, 2685, 2029, 2029, 1752, 1562, 1780, 2630, 2666, 734]",3055,"['<a_224><b_218><c_2>', '<a_236><b_22><c_86>', '<a_236><b_119><c_11>', '<a_236><b_119><c_11>', '<a_73><b_164><c_161>', '<a_159><b_147><c_39>', '<a_236><b_92><c_36>', '<a_224><b_218><c_29>', '<a_73><b_187><c_142>', '<a_73><b_231><c_56>']",<a_251><b_228><c_231>
A518,"['Westek SW103CT Outdoor Swivel Photo Control', 'Westek SW103CT Outdoor Swivel Photo Control', 'DEWALT DBN18125 Heavy Duty 18 Gauge, 1-1/4-Inch Brad Nail (5000-Pack)', 'Colgate Total Anticavity Fluoride and Antigingivitis Toothpaste, 4.2 oz (119 g)', 'Neiko 50432A Nylon Lock Nut Assortment Kit with Carrying Case, 150 Pieces | SAE', 'Forney 72757 Wire Cup Brush, Knotted with 5/8-Inch-11 Threaded Arbor, 2-3/4-Inch-by-.020-Inch', 'Vktech 150pcs 2:1 Heat Shrink Tubing Tube Sleeving Wire Cable 8 Sizes 2-13mm Black', 'Super Glue 15187 Super Glue, 12-Pack', 'Genie Screw & Trac Drive Garage Door Opener Replacement Limit Switch 20113R', 'Gardner Bender 19-001 WireGard Screw-On Wire Connectors, 22-16 AWG, Electrical Wire Nut, 14 pk, Grey']","Install Bay BVBC Vinyl Connector, Blue 16/14 Gauge (100-Bag)","[396, 396, 230, 1651, 400, 582, 619, 114, 1652, 521]",1219,"['<a_109><b_58><c_144>', '<a_109><b_58><c_144>', '<a_42><b_33><c_28>', '<a_66><b_30><c_207>', '<a_224><b_117><c_16>', '<a_193><b_178><c_176>', '<a_228><b_18><c_189>', '<a_165><b_214><c_252>', '<a_71><b_142><c_60>', '<a_67><b_106><c_113>']",<a_67><b_140><c_199>
A1172,"['Industrial & Scientific"" />', 'Loctite Liquid Professional Super Glue  20-Gram Bottle (1365882)']","Kreg SML-C125-100 1-1/4-Inch 8-Coarse Washer-Head Pocket Screws, 100-Count","[523, 202]",387,"['<a_15><b_138><c_46>', '<a_165><b_15><c_16>']",<a_224><b_163><c_173>
A4456,"['Install Bay CCL1614 Crimp Cap Nylon Connector 16/14 Gauge Long Neck -100-Pack', 'Blue Insultion Displacement Connector 16-14 GA - 100 Pack']","AMMEX - ABNPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 4 mil, Large, Black (Case of 1000)","[1481, 1453]",641,"['<a_67><b_133><c_141>', '<a_67><b_208><c_207>']",<a_44><b_217><c_32>
A1057,"['Steelex D2613 3-Inch Threaded Swivel Polyurethane Wheel', 'Steelex D2613 3-Inch Threaded Swivel Polyurethane Wheel', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length']","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length","[2206, 2206, 1153]",1154,"['<a_87><b_44><c_247>', '<a_87><b_44><c_247>', '<a_251><b_198><c_140>']",<a_251><b_198><c_114>
A7299,"['HICTOP Prusa I3 3D Desktop Printer, DIY High Accuracy CNC Self-Assembly Tridimensional', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'E3D All-metal v6 HotEnd Full Kit - 1.75mm Universal - Direct, 12v - Approximately 120mm PTFE (ASSEMBLY REQUIRED)']",2 x Aluminum GT2 16T Pulley and 2M Belt for RepRap 3D printer Prusa i3,"[1693, 1850, 2546]",2922,"['<a_158><b_66><c_3>', '<a_223><b_198><c_182>', '<a_91><b_219><c_15>']",<a_158><b_42><c_191>
A6102,"['10 Pcs VicTsing&reg; 5m USB Waterproof Endoscope Borescope Inspection Camera', 'Bluecell Pack of 9 PCS AA / AAA Battery Storage Hard Case Box', 'Emergency Repair Tape, Self-Fusing Silicone Tape, 12\' x 1"", Red']","10-PC 5"" S HOOK WITH PVC COATING","[3087, 1350, 1028]",1855,"['<a_180><b_185><c_227>', '<a_14><b_253><c_184>', '<a_202><b_202><c_98>']",<a_71><b_61><c_217>
A1804,"['1MHz Function Generator Kit', 'Lightobject ESSR-40DAC Solid State Relay, DC In AC Out, 40 amp', 'Fluke 1AC-A1-II VoltAlert Non-Contact Voltage Tester', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator']","AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","[2999, 2422, 206, 181]",181,"['<a_30><b_139><c_106>', '<a_30><b_162><c_219>', '<a_36><b_4><c_7>', '<a_107><b_93><c_0>']",<a_107><b_93><c_0>
A544,"['Continental ContiTech Fractional Horsepower V-Belt, 4L590, Cogged, 0.50"" Width, 0.31"" Height, 59"" Nominal Outside Length', 'Continental ContiTech Fractional Horsepower V-Belt, 4L440, Cogged, 0.50"" Width, 0.31"" Height, 44"" Nominal Outside Length', 'Gardner Bender GSW-16  Heavy-Duty Electrical Toggle Switch, DPDT, ON-(OFF)-ON, 20 A/125V AC, Screw Terminal', 'Bob Smith 206 Slow-Cure 9oz Epoxy', 'PORTER-CABLE PNS18075 3/4-Inch, 18 Gauge Narrow Crown (1/4-Inch) Staple (5000-Pack)']","Industrial & Scientific"" />","[1719, 1720, 869, 1721, 356]",98,"['<a_197><b_18><c_57>', '<a_197><b_18><c_78>', '<a_236><b_106><c_37>', '<a_99><b_99><c_166>', '<a_42><b_226><c_0>']",<a_15><b_155><c_49>
A6380,"['Polar Ice PI125200CT 125 Count Plastic Jello Shot Cups with Lids, 2-Ounce']",J-B Weld 31314 Red High Temperature RTV Silicone Gasket Maker and Sealant - 3 oz.,[231],367,['<a_14><b_227><c_130>'],<a_244><b_24><c_246>
A2275,"['UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)', 'UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)']","WD-40 100324 Multi-Use Product Spray with Smart Straw, 12 oz. (Pack of 1)","[7, 8]",279,"['<a_210><b_231><c_0>', '<a_210><b_231><c_0>']",<a_173><b_27><c_142>
A1099,"['USAFilament 9800429 ABS 3D Printing Filament, 2.2 lb, 1.75 mm, White Spool', 'LulzBot TAZ 6 3D Printer', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 3.00 mm, Black']",Insta-cure gap filling 2oz Bob Smith Ind.,"[162, 2469, 2470]",1138,"['<a_223><b_66><c_168>', '<a_223><b_176><c_15>', '<a_223><b_198><c_92>']",<a_99><b_219><c_2>
A6919,"['Uxcell a12110700ux0244 5 x 10mm Red Square Wired Car Horn Momentary Push Button Switch AC 250V 3A', '(2 Pack) Petrol Gel Food Grade Equipment LubricantNSF (2/4 oz. Tube)']","VORCOOL 60pcs 7mm, 10mm, 11mm, 14mm, 16mm, 17mm Spring Clips Fuel Hose Line Water Pipe Air Tube Clamps Fasteners","[1656, 3420]",1297,"['<a_236><b_35><c_78>', '<a_173><b_148><c_224>']",<a_71><b_202><c_77>
A6298,"['100% Authentic Czech Pipe Tool - Tobacco Pipe Reamer Tamper Pokers Tool', 'SainSmart PLA-151 PLA Filament (Red)', ""2.0 mm ID PTFE Teflon Tube for 1.75 mm Filament RepRap-DIY 3D Printer Parts - 4.5' Piece""]","Printrbot Simple 2014 3D Printer Kit, PLA Filament, 1.75mm Ubis Hot End, 4"" x 4"" x 4"" Build Volume","[2115, 2717, 3375]",3413,"['<a_52><b_149><c_220>', '<a_223><b_66><c_158>', '<a_223><b_129><c_119>']",<a_91><b_31><c_8>
A6183,"['Professional Lysol Disinfectant Spray, Original Scent, 228oz (12X19oz)', 'Professional Lysol Disinfectant Spray, Crystal Waters, 150oz (12X12.5oz)']","Medline 1700222-X5 Oxygen Tubing, 7' Crush Resistant (Pack of 5)","[3605, 3606]",2433,"['<a_66><b_2><c_15>', '<a_66><b_2><c_6>']",<a_170><b_22><c_153>
A1369,"['SE 612FS 12"" Stainless Steel Self-Locking Straight Forceps', 'KYDEX V Sheet - 0.028"" Thick, Black, 12&rdquo;x12&rdquo; Nominal']",Nicholson File Card & Brush (Pack of 1),"[310, 287]",1140,"['<a_42><b_225><c_133>', '<a_79><b_152><c_3>']",<a_180><b_205><c_169>
A1584,"['3M(TM) Scotchlok(TM) Electrical IDC Connector 560B, Blue, 18&ndash;16AWG solid/stranded, 14AWG stranded, 100ct', '3M Scotchlok IDC Butt Connector, 100 Pack Yellow', 'SOLOOP 50pcs Female & Male Fully Insulated Wire Terminals Connector Nylon Spade Connectors Blue', 'Ginsco 110pcs Female Yellow 12-10 Gauge Nylon Fully-Insulated Quick Disconnects Wiring Spade Wire Connector Crimp Terminal']",Ginsco 108pcs Insulated Heat Shrink Waterproof Butt Connectors Wire electrical 14-16 AWG Kit Blue,"[2522, 2898, 1033, 597]",2835,"['<a_67><b_74><c_205>', '<a_67><b_6><c_165>', '<a_67><b_13><c_33>', '<a_67><b_23><c_27>']",<a_67><b_126><c_54>
A941,"['Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)', 'Lord & Hodge 1941-2063 1074-4 1/2"" Grommet KIT Refill']","24 Oz. Sprayer Bottles, Pack Of 3","[42, 1173]",538,"['<a_71><b_242><c_21>', '<a_71><b_203><c_144>']",<a_150><b_12><c_49>
A641,"['3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)', 'Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads', 'Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)', 'Shoreline Marine GOOP, 3.7-Ounce, Clear']","WD-40 100324 Multi-Use Product Spray with Smart Straw, 12 oz. (Pack of 1)","[467, 123, 130, 213]",279,"['<a_202><b_160><c_184>', '<a_173><b_194><c_4>', '<a_202><b_52><c_171>', '<a_122><b_156><c_152>']",<a_173><b_27><c_142>
A3256,"['WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ', 'Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion', '3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)', 'Nubee Temperature Gun Non-contact Infrared Thermometer MAX Display & EMS Adjustable']","Dap 7079812343 Drydex 5.5 Oz 6Pk Raw Building Material, 5.5-Ounce, Pink/White","[280, 84, 467, 591]",609,"['<a_173><b_197><c_47>', '<a_104><b_186><c_66>', '<a_202><b_160><c_184>', '<a_107><b_42><c_214>']",<a_244><b_136><c_142>
A2258,"['J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.', 'Rust-Oleum 214382Heavy-Duty Degreaser, 32-Ounce']",Anycubic Pulley Version Unassemble Delta Rostock 3D Printer Kossel Kit Large Print Size with Heatbed and Power Supply,"[675, 3106]",3151,"['<a_165><b_59><c_69>', '<a_66><b_92><c_236>']",<a_158><b_211><c_119>
A6596,"['Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs', 'Uxcell a11102000ux0355 2N3906 General Purpose 3 Terminals PNP Transistors, 100 Piece']",5pcs 6x8cm Double-Side Prototype PCB Universal Printed Circuit Board,"[285, 2561]",1753,"['<a_73><b_8><c_168>', '<a_236><b_70><c_126>']",<a_73><b_168><c_236>
A5323,"['Scotch 1110-C Multi Use Duct Tape, 10-Yards', 'Scotch 1110-C Multi Use Duct Tape, 10-Yards', 'T-fal C51407 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 12-Inch, Red']","T-fal C51402 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 8-Inch, Red","[1596, 1596, 1248]",1249,"['<a_202><b_2><c_12>', '<a_202><b_2><c_12>', '<a_14><b_233><c_185>']",<a_14><b_233><c_0>
A5189,"['PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Length', 'PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Length', 'Octave 4 Color Red-Green-Blue-Yellow ABS Filament for 3D Printers - 1.75mm 1.3Kg Spool']","HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood","[1205, 1205, 3635]",3016,"['<a_17><b_62><c_227>', '<a_17><b_62><c_227>', '<a_91><b_183><c_225>']",<a_223><b_201><c_101>
A2059,"['GUM Go-Betweens Proxabrush Refills Wide [614] 8 Each (Pack of 6)', 'Milwaukee Instruments MA9015 Storage Solution for pH/ORP Electrode, 230 mL Volume', 'General Tools 80560 Telescoping LED Lighted Inspection Mirror, 360 Swivel  for Extra Viewing']",TEKTON 7609 Telescoping Lighted Inspection Mirror,"[2252, 2775, 267]",998,"['<a_24><b_78><c_134>', '<a_229><b_30><c_19>', '<a_180><b_238><c_46>']",<a_180><b_116><c_95>
A2264,"['Rescue Tape RT1000201202USCO', 'Rescue Tape RT1000201202USCO']",Rescue Tape RT1000201202USCO,"[116, 116]",116,"['<a_202><b_62><c_182>', '<a_202><b_62><c_182>']",<a_202><b_62><c_182>
A3702,"['6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1-5/8"" Diameter, 24"" Length']","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2"" Diameter, 12"" Length","[1154, 1153, 1155, 1156]",1157,"['<a_251><b_198><c_114>', '<a_251><b_198><c_140>', '<a_251><b_198><c_9>', '<a_251><b_198><c_132>']",<a_251><b_198><c_238>
A2468,['Science Purchase INSTANT Single Panel Drug Test Kit - Test For THC (marijuana) - 10 pk'],"Zoeller 30-0181 PVC Plastic Check Valve, 1-1/2 Inch",[945],316,['<a_94><b_190><c_60>'],<a_108><b_196><c_55>
A3949,"['Pro Tie 33201 SAE Size 6 Range 7/16-Inch-11/16-Inch Mini All Stainless Hose Clamp, 10-Pack']","5/8"" Heavy Duty Double Gripping Nylon Hose Clamps, 225&deg; F / 200 PSI Rated, 10 Pack (Made in USA/UK)",[337],3273,['<a_71><b_54><c_7>'],<a_71><b_228><c_31>
A3580,"['Neiko 10194A Titanium Step Drill Bit, High Speed Steel | 1/4"" to 1-3/8"" | Total 10 Step Sizes', 'Apache 98441022 1/4"" Quick Disconnect Pressure Washer Adapter Set', 'Replacement Filter Fits Shop Vac 90304', 'ABN Aluminum Rivet Assortment Set 500-Piece Rivets Kit &ndash; 1/8""x1/4"", 1/8""x5/16"", 1/8""x3/8"", 3/16""x5/16"", 3/16""x3/8"" Inch']",The Hillman Group 90398 1/4-20X1-1/4 MACH Screw,"[178, 1493, 748, 3241]",685,"['<a_224><b_17><c_207>', '<a_108><b_142><c_250>', '<a_109><b_82><c_143>', '<a_17><b_105><c_102>']",<a_224><b_77><c_252>
A5271,"['Stens 100-758 Air Filter', 'Stens 100-758 Air Filter']","Industrial & Scientific"" />","[3173, 3173]",115,"['<a_159><b_161><c_234>', '<a_159><b_161><c_234>']",<a_233><b_203><c_160>
A6854,"['Uxcell a11102000ux0355 2N3906 General Purpose 3 Terminals PNP Transistors, 100 Piece', 'Function Generator DIY KIT by JYE Tech FG085', 'Texas Instruments LM358N LM358 Dual Operational Amplifier DIP8 1 Pack', 'uxcell 10Pcs Common Cathode 10 Pin 1 Bit 0.5"" Red LED Display Digital Tube', 'STMicroelectronics L7805CV 5V 1.5A Positive Voltage Regulator, 5 Pieces', '100x 1N4007 Diode 1A 1000V Rectifier Diodes Arduino Motor Snubber Flyback', 'Yosoo GM328 Lcd Display Transistor Tester ESR Meter Cymometer Square Wave Generator', 'HATCHBOX 1 Spool 3D Printer Filament Tabletop Wall Mount Rack', 'Uxcell a12080300ux0453 2.54mm Pitch 4 Pins DIP Mounting Photo Coupler PC817 (Pack of 10)']",Texas Instruments NE555N NE555 NE555P General Purpose Single Bipolar Timer DIP8 50 Pack,"[2561, 3415, 2880, 2847, 1602, 2446, 1522, 51, 2666]",635,"['<a_236><b_70><c_126>', '<a_30><b_149><c_83>', '<a_30><b_127><c_83>', '<a_73><b_208><c_4>', '<a_30><b_229><c_164>', '<a_30><b_186><c_132>', '<a_36><b_200><c_165>', '<a_223><b_29><c_58>', '<a_73><b_187><c_142>']",<a_30><b_191><c_20>
A5177,"['PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Length', 'PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Length', 'SainSmart PLA-151 PLA Filament (Red)', 'AGPtek&reg; 12 Pipe Aluminum Heat Exchanger Radiator for PC CPU CO2 Laser Water Cool System Computer', 'Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing', '100Pcs M3 3mm Female Thread Hex Metal Nut Fastener Silver Tone', 'HATCHBOX 3D ABS-1KG1.75-BLU ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'SainSmart PETG-1KG1.75 PETG 3D Printers Filament, 1 kg/2.2 lb.', 'SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm']","RepRapDiscount, Hexagon Full Metal Hot End, Hotend, 1.75mm, .4mm nozzle","[1205, 1205, 2717, 2921, 145, 2335, 2419, 3098, 2544]",3134,"['<a_17><b_62><c_227>', '<a_17><b_62><c_227>', '<a_223><b_66><c_158>', '<a_52><b_192><c_121>', '<a_17><b_14><c_32>', '<a_224><b_8><c_73>', '<a_223><b_198><c_3>', '<a_223><b_126><c_13>', '<a_223><b_86><c_176>']",<a_91><b_129><c_21>
A7245,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue']","HICTOP Desktop 3D Printer, Black",[50],3534,['<a_223><b_198><c_36>'],<a_158><b_66><c_0>
A2219,"['Bessey BVVB Vacuum Base Vise', 'Enerlites HET06A-White 1-5-10-15-20-30 Minutes Preset In-Wall Countdown Timer Switch, w Decorator Wall Plate, White']",J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,"[2052, 785]",675,"['<a_193><b_124><c_234>', '<a_236><b_6><c_219>']",<a_165><b_59><c_69>
